"","x"
"3001",3526073.09619942
"3002",798327.598271066
"3003",9594471.35687019
"3004",7032617.88438863
"3005",581696.036284963
"3006",3405206.54993926
"3007",2598673.39322327
"3008",26301028.0002594
"3009",10058656.9879756
"3010",207764007.87596
"3011",185281.997615505
"3012",182976.400540761
"3013",5981053.5634296
"3014",233938.456348731
"3015",21146461.7003372
"3016",122991.557805654
"3017",81609623.3410749
"3018",89962029.0498704
"3019",24244713.2774763
"3020",354923833.748165
"3021",37640866.8131994
"3022",32184821.5435663
"3023",990361.290755368
"3024",12945266.630836
"3025",1342912.61656181
"3026",84609147.5024488
"3027",6572405.33980783
"3028",48384855.2807755
"3029",258858.565991368
"3030",34011713.7009102
"3031",7342401.68207986
"3032",3063187.09055323
"3033",1097.63627255388
"3034",140936.481322324
"3035",631506.576431135
"3036",4488020.86043662
"3037",27413718.6011336
"3038",11793954.1206232
"3039",2103856.02030013
"3040",208705.510594384
"3041",14453226.5686553
"3042",600252.856255823
"3043",5012556.24339946
"3044",1673584.98079191
"3045",447015082.825147
"3046",545573.394529413
"3047",16628974.6552966
"3048",4430097.88586909
"3049",13040764.7591688
"3050",20140927.6631491
"3051",741.467677657976
"3052",13242508.9693702
"3053",229761.433549114
"3054",932298.386230931
"3055",36388011.8234007
"3056",43307.444807447
"3057",33453860.1652904
"3058",183836258.736174
"3059",195334.190851087
"3060",70853621.9454952
"3061",22084574.390821
"3062",12384101.5199687
"3063",17886178.5305496
"3064",21793011.1779068
"3065",19964108.8105839
"3066",68258803.5674497
"3067",2405426.81401941
"3068",32094470.6513257
"3069",190195798.361763
"3070",1259976.03424727
"3071",4126755.40777341
"3072",252714620.298538
"3073",2437501.80861811
"3074",186415.755801238
"3075",13184470.2386919
"3076",143369100.205746
"3077",8860862.00288574
"3078",92373418.0936894
"3079",15299102.5796508
"3080",77006257.3843643
"3081",11298245.3237586
"3082",2699395.21916763
"3083",962837.530246815
"3084",4563.49415434413
"3085",2896033.85530917
"3086",41856850.716254
"3087",846738.225096162
"3088",612283.016228924
"3089",152804.891507882
"3090",29802501.8999717
"3091",16042411.7563121
"3092",2849291.71023767
"3093",118200277.297586
"3094",96116192.0084529
"3095",56593527.6106914
"3096",4774710.02297414
"3097",826898625.971776
"3098",9457668.93520052
"3099",56368852.0245928
"3100",2139199.88748886
"3101",11421174.3890539
"3102",598720.674616134
"3103",363681.398354625
"3104",2122935.21117924
"3105",67952083.4293004
"3106",32450939.8265205
"3107",35593529.1717938
"3108",5281828.82369459
"3109",7001810.45391846
"3110",290806217.561378
"3111",1413552.96596456
"3112",359609.080468362
"3113",3707585.46716878
"3114",7656007.9507184
"3115",11730353.0889332
"3116",2661478.88795026
"3117",428287.091780918
"3118",2451796.73433413
"3119",167537084.833697
"3120",106191248.771641
"3121",1247937.11320611
"3122",5303950.15445192
"3123",6256426.26165564
"3124",831366.051753112
"3125",62646.1991814155
"3126",25264000.4709553
"3127",4774121.06578648
"3128",18863681.0788994
"3129",214532700.891999
"3130",9517625.19115516
"3131",1624516.28267088
